PHP_PLUGIN;PHPI_FILE_BASE;PHPI_SENSITIVE_SINK;PHPI_LINE;PHPI_SENSITIVE_SINK_VULNERABILITY;executed_function_that_calls_the_function;parameters;function_that_calls_the_function;PHPI_START_LINE;lines_of_code;url_link
ource;calendar.1.3.3/calendar.php;calendar;312;UNKNOWN;not executed;$cat_list;calendar_insert ($cat_list);304;312          $cal_output = calendar($cat_list)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=312&line_end=312&variable_name=calendar&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;calendar;314;UNKNOWN;not executed;;calendar_insert ();304;314  	$cal_output = calendar()##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=314&line_end=314&variable_name=calendar&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;preg_replace;316;UNKNOWN;not executed;$cal_output, $content;calendar_insert ($cal_output, $content);304;316        $content = preg_replace('/\{CALENDAR*.+\}/',$cal_output,$content)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=316&line_end=316&variable_name=preg_replace&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;preg_match;324;UNKNOWN;not executed;$content;minical_insert ($content);322;324    if (preg_match('/\{MINICAL*.+\}/',$content));http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=324&line_end=324&variable_name=preg_match&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;preg_split;326;UNKNOWN;not executed;$content;minical_insert ($content);322;326        $cat_list= preg_split('/\{MINICAL\##/',$content)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=326&line_end=326&variable_name=preg_split&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;sizeof;327;UNKNOWN;not executed;$cat_list;minical_insert ($cat_list);322;327        if (sizeof($cat_list) > 1) {;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=327&line_end=327&variable_name=sizeof&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;preg_split;328;UNKNOWN;not executed;$cat_list;minical_insert ($cat_list);322;328  	$cat_list = preg_split('/\}/',$cat_list[1])##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=328&line_end=328&variable_name=preg_split&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;minical;330;UNKNOWN;not executed;$cat_list;minical_insert ($cat_list);322;330  	$cal_output = minical($cat_list)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=330&line_end=330&variable_name=minical&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;minical;332;UNKNOWN;not executed;;minical_insert ();322;332  	$cal_output = minical()##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=332&line_end=332&variable_name=minical&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;preg_replace;334;UNKNOWN;not executed;$cal_output, $content;minical_insert ($cal_output, $content);322;334        $content = preg_replace('/\{MINICAL*.+\}/',$cal_output,$content)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=334&line_end=334&variable_name=preg_replace&text=File Functions#target_mark
